nord,east,alt,speed,vf,vl,vu,yaw,pitch,roll,af,al,au,wf,wl,wu,numsats,satellitesInView,profile,fixQuality,HDOP,timestamp,grabMsec,episode
59.9065099,30.3503109,10.747,3.707,0.0,0.0,0.0,-5.1591060024326385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,43,0,4,0.65,2025-04-23T17: 13: 55.300+03: 00,46285,new.003.002.
59.9065114,30.3503047,10.746,3.842,0.0,0.0,0.0,-5.16880479708597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,43,0,4,0.65,2025-04-23T17: 13: 55.400+03: 00,46383,new.003.002.
59.9065129,30.3502983,10.747,3.946,0.0,0.0,0.0,-5.155161558323131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,43,0,4,0.65,2025-04-23T17: 13: 55.500+03: 00,46477,new.003.002.
59.9065145,30.3502918,10.746,4.025,0.0,0.0,0.0,-5.156355363531495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,43,0,4,0.65,2025-04-23T17: 13: 55.600+03: 00,46578,new.003.002.
59.9065161,30.3502851,10.742,4.169,0.0,0.0,0.0,-5.150215295222979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,43,0,4,0.65,2025-04-23T17: 13: 55.700+03: 00,46671,new.003.002.
59.9065178,30.3502782,10.742,4.268,0.0,0.0,0.0,-5.171023110565256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,43,0,4,0.65,2025-04-23T17: 13: 55.800+03: 00,46780,new.003.002.
59.9065195,30.3502712,10.743,4.354,0.0,0.0,0.0,-5.160985722037036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,43,0,4,0.65,2025-04-23T17: 13: 55.900+03: 00,46876,new.003.002.
59.9065212,30.3502639,10.742,4.481,0.0,0.0,0.0,-5.165136114998278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,43,0,4,0.65,2025-04-23T17: 13: 56.000+03: 00,46982,new.003.002.
59.9065231,30.3502566,10.738,4.594,0.0,0.0,0.0,-5.15929973397961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,43,0,4,0.65,2025-04-23T17: 13: 56.100+03: 00,47081,new.003.002.
59.9065249,30.350249,10.737,4.669,0.0,0.0,0.0,-5.170681026031864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,43,0,4,0.65,2025-04-23T17: 13: 56.200+03: 00,47176,new.003.002.
59.9065267,30.3502412,10.739,4.767,0.0,0.0,0.0,-5.159643563842253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,43,0,4,0.65,2025-04-23T17: 13: 56.300+03: 00,47276,new.003.002.
