speed_0,speed_1,grabMsec,tram_mode_dbw_feedback,tram_mode_applied_control,m_speed_mode_driver,episode
0.0,0.21,80431,-9,0,-9,new.003.005.
0.0,0.0,80523,-7,0,-7,new.003.005.
0.0,0.0,80624,-5,0,-5,new.003.005.
0.0,0.0,80728,15,0,0,new.003.005.
0.0,0.0,80830,15,0,0,new.003.005.
0.0,0.0,80923,15,0,0,new.003.005.
0.0,0.0,81036,15,0,0,new.003.005.
0.0,0.0,81139,15,0,0,new.003.005.
0.0,0.0,81240,15,0,0,new.003.005.
0.0,0.0,81333,15,0,0,new.003.005.
0.0,0.0,81427,15,0,0,new.003.005.
0.0,0.0,81528,15,0,0,new.003.005.
0.0,0.0,81631,15,0,0,new.003.005.
0.0,0.0,81736,15,0,0,new.003.005.
0.0,0.0,81834,15,0,0,new.003.005.
0.0,0.0,81936,15,0,0,new.003.005.
0.0,0.0,82039,15,0,0,new.003.005.
0.0,0.0,82140,15,0,0,new.003.005.
0.0,0.0,82245,15,0,0,new.003.005.
0.0,0.0,82340,15,0,0,new.003.005.
0.0,0.0,82441,15,0,0,new.003.005.
0.0,0.0,82545,15,0,0,new.003.005.
0.0,0.0,82654,15,0,0,new.003.005.
0.0,0.0,82748,15,0,0,new.003.005.
0.0,0.0,82852,15,0,0,new.003.005.
0.0,0.0,82958,15,0,0,new.003.005.
0.0,0.0,83126,15,0,0,new.003.005.
0.0,0.0,83156,15,0,0,new.003.005.
0.0,0.0,83259,15,0,0,new.003.005.
0.0,0.0,83361,15,0,0,new.003.005.
0.0,0.0,83565,15,0,0,new.003.005.
0.0,0.0,83668,15,0,0,new.003.005.
0.0,0.0,83770,15,0,0,new.003.005.
0.0,0.0,83862,15,0,0,new.003.005.
0.0,0.0,83975,15,0,0,new.003.005.
0.0,0.0,84066,15,0,0,new.003.005.
0.0,0.0,84168,15,0,0,new.003.005.
0.0,0.0,84272,15,0,0,new.003.005.
0.0,0.0,84375,15,0,0,new.003.005.
0.0,0.0,84477,15,0,0,new.003.005.
0.0,0.0,84582,15,0,0,new.003.005.
0.0,0.0,84689,15,0,0,new.003.005.
0.0,0.0,84785,15,0,0,new.003.005.
0.0,0.0,84884,15,0,0,new.003.005.
0.0,0.0,84986,15,0,0,new.003.005.
0.0,0.0,85091,15,0,0,new.003.005.
0.0,0.0,85195,15,0,0,new.003.005.
0.0,0.0,85286,15,0,0,new.003.005.
0.0,0.0,85389,15,0,0,new.003.005.
0.0,0.0,85495,15,0,0,new.003.005.
0.0,0.0,85596,15,0,0,new.003.005.
0.0,0.0,85700,15,0,0,new.003.005.
0.0,0.0,85803,15,0,0,new.003.005.
0.0,0.0,85905,15,0,0,new.003.005.
0.0,0.0,86008,15,0,0,new.003.005.
0.0,0.0,86105,15,0,0,new.003.006.
0.0,0.0,86203,15,0,0,new.003.006.
0.0,0.0,86306,15,0,0,new.003.006.
0.0,0.0,86411,15,0,0,new.003.006.
0.0,0.0,86516,15,0,0,new.003.006.
0.0,0.0,86609,15,0,0,new.003.006.
0.0,0.0,86713,15,0,0,new.003.006.
0.0,0.0,86815,15,0,0,new.003.006.
0.0,0.0,86923,15,0,0,new.003.006.
0.0,0.0,87016,15,0,0,new.003.006.
0.0,0.0,87119,15,0,0,new.003.006.
0.0,0.0,87220,15,0,0,new.003.006.
0.0,0.0,87322,15,0,0,new.003.006.
0.0,0.0,87423,15,0,0,new.003.006.
0.0,0.0,87526,15,0,0,new.003.006.
0.0,0.0,87630,15,0,0,new.003.006.
0.0,0.0,87736,15,0,0,new.003.006.
0.0,0.0,87831,15,0,0,new.003.006.
0.0,0.0,87932,15,0,0,new.003.006.
0.0,0.0,88035,15,0,0,new.003.006.
0.0,0.0,88139,15,0,0,new.003.006.
0.0,0.0,88245,15,0,0,new.003.006.
0.0,0.0,88346,15,0,0,new.003.006.
0.0,0.0,88448,15,0,0,new.003.006.
0.0,0.0,88559,15,0,0,new.003.006.
0.0,0.0,88671,15,0,0,new.003.006.
0.0,0.0,88762,15,0,0,new.003.006.
0.0,0.0,88865,15,0,0,new.003.006.
0.0,0.0,88967,15,0,0,new.003.006.
0.0,0.0,89072,15,0,0,new.003.006.
0.0,0.0,89170,15,0,0,new.003.006.
0.0,0.0,89263,15,0,0,new.003.006.
0.0,0.0,89364,15,0,0,new.003.006.
0.0,0.0,89465,15,0,3,new.003.006.
0.0,0.0,89569,15,0,3,new.003.006.
0.0,0.0,89671,15,0,3,new.003.006.
0.0,0.0,89763,15,0,3,new.003.006.
0.0,0.0,89875,15,0,3,new.003.006.
0.0,0.0,89968,15,0,3,new.003.006.
0.0,0.0,90072,15,0,3,new.003.006.
0.0,0.0,90171,15,0,3,new.003.006.
0.0,0.0,90272,15,0,3,new.003.006.
0.0,0.0,90373,15,0,3,new.003.006.
0.0,0.0,90475,15,0,3,new.003.006.
0.0,0.0,90576,15,0,3,new.003.006.
0.0,0.0,90678,15,0,3,new.003.006.
0.0,0.0,90780,15,0,3,new.003.006.
0.0,0.0,90883,15,0,3,new.003.006.
0.0,0.0,90975,15,0,3,new.003.006.
0.0,0.0,91092,15,0,3,new.003.006.
0.0,0.0,91183,15,0,3,new.003.006.
0.0,0.0,91284,15,0,3,new.003.006.
